time_ms,takeoff,urm_is_reliable,air_gps_hour,air_gps_minute,air_gps_second,air_gps_centisecond,air_gps_latitude_deg,air_gps_longitude,air_gps_altitude_m,air_gps_groundspeed_ms,air_gps_heading_deg,filtered_bmp_altitude_m,filtered_urm_altitude_m,filtered_airspeed_ms,air_bmp_pressure_hPa,air_bmp_temperature_deg,air_bmp_altitude_m,air_sdp_differentialPressure_Pa,air_sdp_airspeed_ms,air_AoA_angle_deg,air_AoS_angle_deg,ics_angle,fslg_is_alive,fslg_bno_qw,fslg_bno_qx,fslg_bno_qy,fslg_bno_qz,fslg_bno_roll,fslg_bno_pitch,fslg_bno_yaw,fslg_lsm_roll,fslg_lsm_pitch,fslg_lsm_yaw,fslg_bmp_pressure_hPa,fslg_temperature_deg,fslg_bmp_altitude_m,fslg_bno_accx_mss,fslg_bno_accy_mss,fslg_bno_accz_mss,fslg_lsm_accx_mss,fslg_lsm_accy_mss,fslg_lsm_accz_mss,bno_cal_system,bno_cal_gyro,bno_cal_accel,bno_cal_mag,under_is_alive,under_bmp_pressure_hPa,under_bmp_temperature_deg,under_bmp_altitude_m,under_urm_altitude_m,under_tsd20_altitude_m
10,0,1,2,3,4,5,6,7,8,9,10,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
20,0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
30,0,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
40,0,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
50,0,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
60,0,6,7,8,9,0,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-26,-27,-28,-29,-30,-31,-32,-33,-34,-35,-36,-37,-38,-39,-40,-41,-42
70,0,7,8,9,0,1,-1,-3,-5,-7,-9,-11,-13,-15,-17,-19,-21,-23,-25,-27,-29,-31,-33,-35,-37,-39,-41,-43,-45,-47,-49,-51,-53,-55,-57,-59,-61,-63,-65,-67,-69,-71,-73,-75,-77,-79,-81,-83,-85,-87,-89,-91
80,1,8,9,0,1,2,-2,-4,-6,-8,-10,-12,-14,-16,-18,-20,-22,-24,-26,-28,-30,-32,-34,-36,-38,-40,-42,-44,-46,-48,-50,-52,-54,-56,-58,-60,-62,-64,-66,-68,-70,-72,-74,-76,-78,-80,-82,-84,-86,-88,-90,-92
90,1,9,0,1,2,3,0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,-22,-23,-24,-25,-26,-27,-28,-29,-30,-31,-32,-33,-34,-35,-36,-37,-38,-39,-40,-41,-42,-43,-44,-45
100,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
